Gene	log2FC_mRNA	padj
80729	-7.197149004	1.11E-86
46410	-2.438917025	2.23E-69
35230	2.684122906	1.61E-63
109531	-5.413062887	1.36E-58
106254	2.895786338	3.23E-57
171785	2.423733007	3.40E-55
117981	-1.850740156	3.18E-49
155592	3.13249315	3.29E-49
177367	3.255012855	6.23E-46
157276	2.059357598	1.04E-45
143641	1.89224144	1.53E-43
146470	2.624176454	1.34E-40
165444	2.37102446	2.15E-40
114483	4.326678414	1.73E-38
90308	1.978647869	2.28E-38
106198	-4.488808886	1.31E-34
156978	1.850026713	8.59E-33
185910	-1.940555211	1.78E-31
38405	4.177754193	7.60E-31
145356	2.347341994	1.76E-30
157246	2.755976228	1.61E-29
183033	-1.9071442	1.80E-29
135024	2.05420723	2.83E-28
163245	-6.190080261	2.83E-28
155023	1.581321185	2.45E-27
153280	2.619394045	1.15E-26
104978	-2.76309055	4.12E-26
159340	1.680512953	6.58E-26
136148	1.378723377	6.73E-26
82126	-2.90902132	2.22E-25
185166	1.904782316	2.25E-25
155883	1.981733771	5.58E-25
113030	-1.479969462	6.50E-25
157072	-2.280337078	9.61E-25
81415	-3.976537705	1.37E-23
152360	-1.638093344	2.82E-23
155500	3.016542273	5.00E-23
83191	2.543037015	9.30E-23
77497	1.576517905	1.14E-22
136487	1.948173229	1.53E-22
83946	1.412855922	1.53E-22
154994	-1.308986721	2.29E-22
93498	2.830037916	4.84E-22
184814	1.303447794	1.07E-20
140695	2.720877399	1.30E-20
189040	-2.043747412	3.66E-20
165312	-2.514964407	4.93E-20
105700	-1.803974285	6.49E-20
155810	-1.345877689	3.12E-19
106238	1.328304878	3.39E-19
159871	3.27922557	6.79E-19
150480	-1.416334825	7.04E-19
153454	2.563518652	8.63E-19
159414	2.168991666	1.32E-18
112151	1.687426232	2.27E-18
110016	2.314510209	3.34E-18
157288	2.671851843	4.69E-18
154682	1.378383664	1.28E-17
156269	-1.704758361	1.52E-17
182595	1.037973164	2.40E-17
78611	1.0596371	2.40E-17
182779	2.577523605	2.68E-17
81673	-1.220692422	5.75E-17
154019	1.185298456	5.89E-17
162849	1.42739986	6.34E-17
140453	2.356657097	7.47E-17
159770	1.033486435	7.47E-17
154133	1.567479572	1.12E-16
156297	-1.546403972	1.18E-16
157383	-1.146192873	1.26E-16
29874	3.186662645	1.77E-16
155711	2.753587434	2.44E-16
104887	1.641676157	2.86E-16
166364	3.816124075	3.06E-16
147336	-1.661076334	3.45E-16
157070	-1.56671798	4.87E-16
154895	1.763285523	6.35E-16
115609	2.182499593	7.41E-16
80037	2.87391181	1.27E-15
106355	1.470444921	1.37E-15
17074	-1.507130883	1.56E-15
173295	-2.865977364	1.58E-15
75846	2.332937171	1.59E-15
155166	4.037855021	2.53E-15
108030	-1.179246701	2.58E-15
111943	-2.498727936	4.51E-15
104348	1.261726642	4.95E-15
9808	1.283153567	5.01E-15
45643	1.479430272	7.21E-15
161121	1.880243847	8.23E-15
156013	1.063827081	9.35E-15
140864	3.681997331	1.00E-14
32382	1.610460036	1.26E-14
160543	2.466270479	1.29E-14
156794	1.279112603	1.98E-14
91563	2.823596937	2.65E-14
154743	2.857406097	3.87E-14
142378	3.542201469	7.31E-14
156125	2.170503633	8.09E-14
78931	1.815332167	8.60E-14
183529	1.456875237	9.24E-14
184750	-2.097131119	9.60E-14
129613	1.123082242	1.06E-13
106517	1.749903634	1.49E-13
188926	1.315846699	1.54E-13
185065	-1.116956657	1.76E-13
32392	1.757004439	1.90E-13
119638	-1.450043438	2.24E-13
