Gene	log2FC_sRNA	padj
109608	-8.018711774	1.00E-146
108240	-9.152238516	4.68E-137
115001	-8.031781991	1.44E-127
156160	-7.487478921	5.52E-126
155631	-8.084357481	8.19E-116
111341	-8.029524978	1.97E-113
112510	-7.718250679	2.90E-113
76488	-7.202458684	1.13E-105
157208	-8.019694625	2.19E-104
156565	-7.537660376	6.71E-104
157526	-7.717672492	7.02E-103
115910	-7.790416764	1.84E-101
110945	-5.522209928	1.12E-96
86316	-6.134976284	2.91E-95
168366	-6.891049248	2.21E-92
163530	-6.734063983	8.68E-91
156422	-7.602528042	8.83E-87
111376	-6.776391169	8.70E-86
109531	-5.759781406	1.30E-85
106231	-5.679946349	1.38E-84
111195	-6.849157709	1.70E-84
107923	-5.719142085	2.16E-84
116261	-5.695546735	2.36E-84
107234	-7.73033675	1.04E-83
156991	-7.425138406	1.87E-83
108202	-5.552723092	2.91E-83
161037	-6.477783029	3.59E-83
116306	-5.773558864	7.40E-82
105357	-6.893275189	7.47E-82
110983	-5.643754218	1.35E-81
107555	-6.08897733	6.18E-80
115511	-6.267405284	9.05E-80
161010	-6.141989168	7.75E-79
158433	-6.316154597	1.34E-78
113694	-7.534891235	4.47E-77
113040	-7.513052038	8.89E-77
106945	-7.687899835	4.02E-75
110035	-6.77252755	4.02E-75
104742	-5.552163126	1.84E-74
163529	-6.52292786	5.64E-74
81899	-6.926343696	6.42E-74
106032	-6.533937917	2.37E-73
109283	-7.469657541	3.78E-73
107004	-5.760185956	1.14E-72
156620	-7.385136769	1.17E-72
76997	-5.584614393	3.98E-72
113545	-6.669864821	1.65E-71
114504	-6.135828983	2.31E-71
76158	-5.726144447	1.11E-70
104303	-5.948839888	2.49E-70
109505	-6.528315261	4.64E-70
158671	-6.156678804	7.66E-70
159843	-6.393273345	1.43E-69
115727	-5.934696376	1.76E-69
107967	-6.234602886	3.29E-69
158561	-6.22284516	8.69E-69
115791	-5.743195942	1.16E-68
163370	-6.223835226	5.10E-68
35230	2.956222232	1.29E-67
109569	-5.96371911	4.28E-67
76104	-6.029251434	4.31E-66
109089	-5.338136354	1.11E-65
115556	-5.950016077	5.02E-65
164825	-5.96590162	9.75E-65
112490	-5.810311798	1.15E-64
76487	-6.176873416	1.31E-64
164072	-4.59899515	1.44E-64
106051	-6.175897076	1.94E-64
110204	-6.166986059	2.89E-64
111726	-5.683718192	7.18E-64
158933	-5.922103194	8.01E-64
166764	-6.053798096	9.95E-64
109504	-5.886640617	2.09E-63
79404	-6.337899789	2.58E-63
112793	-5.215636176	2.60E-63
107601	-5.357666688	2.80E-63
158111	-5.921084477	4.93E-63
80750	-5.630923973	4.66E-62
158280	-5.882428407	1.15E-61
82430	-5.449591995	1.40E-61
106387	-5.539498429	3.74E-61
85164	-5.993168081	6.68E-61
77527	-5.691621263	7.15E-61
158264	-5.813189731	1.42E-60
113533	-5.580277779	1.56E-60
108220	-5.678952325	1.95E-60
163977	-5.700771186	2.00E-60
116016	-5.66857495	2.26E-60
112363	-5.836214875	9.58E-60
164373	-5.966841786	1.14E-59
107304	-5.918203851	2.27E-59
105864	-5.798410035	6.81E-59
115500	-5.679728566	1.07E-58
168177	-5.676188644	1.57E-58
114149	-5.948341791	1.89E-58
112326	-5.825290421	4.30E-58
105439	-6.484815679	5.62E-58
116358	-5.740016703	7.12E-58
85624	-5.894585915	7.28E-58
156290	-5.278065727	7.69E-58
115949	-5.401968713	1.34E-57
108969	-5.478661085	1.42E-57
115402	-5.630034334	1.43E-57
115168	-5.789592397	1.72E-57
109148	-5.551663956	1.84E-57
164723	-5.602691748	1.84E-57
111906	-6.365831959	2.23E-57
85423	-5.577166967	2.53E-57
111237	-5.585095106	3.03E-57
113076	-5.806297585	3.32E-57
110706	-5.792790208	3.60E-57
108700	-5.217277523	3.71E-57
164283	-5.76835267	3.71E-57
168082	-5.907231111	4.07E-57
105456	-5.857587203	6.21E-57
104709	-5.896728969	6.38E-57
112328	-5.758836747	6.71E-57
160288	-5.544296679	8.14E-57
79285	-5.591811865	9.20E-57
104671	-5.692424923	1.11E-56
83453	-5.491186629	1.14E-56
115555	-5.756193824	1.78E-56
108968	-5.298175167	1.91E-56
104719	-5.086766153	1.96E-56
116302	-5.796473804	2.00E-56
108199	-5.851365273	2.03E-56
162245	-5.574212493	2.51E-56
